stopwords_removed,3-gram
"['wah', 'keren', 'banget', 'ruang', 'clasik', 'brawel', 'arkade', 'tang', 'kasing', 'bintang', 'lima', 'musuh', 'botsemua', 'padaha', 'tang', 'epik', 'kenapa', 'musuh', 'bot']","['arkade_tang_kasing', 'banget_ruang_clasik', 'bintang_lima_musuh', 'botsemua_padaha_tang', 'brawel_arkade_tang', 'clasik_brawel_arkade', 'epik_kenapa_musuh', 'kasing_bintang_lima', 'kenapa_musuh_bot', 'keren_banget_ruang', 'lima_musuh_botsemua', 'musuh_botsemua_padaha', 'padaha_tang_epik', 'ruang_clasik_brawel', 'tang_epik_kenapa', 'tang_kasing_bintang', 'wah_keren_banget']"
"['babi', 'selalu', 'sampah']",['babi_selalu_sampah']
"['hampir', 'semuah', 'gelap', 'kecewa']","['hampir_semuah_gelap', 'semuah_gelap_kecewa']"
"['rusak', 'rusak']",[]
"['kenapa', 'selalu', 'bot', 'capek']","['kenapa_selalu_bot', 'selalu_bot_capek']"
['bagong'],[]
"['gelap', 'banyak']",[]
"['banyak', 'darksistem', 'n', 'lag']",['banyak_darksistem_lag']
"['skrng', 'suka', 'lag', 'pdahl', 'bukak', 'apk', 'lain', 'lancaraja']","['apk_lain_lancaraja', 'bukak_apk_lain', 'lag_pdahl_bukak', 'pdahl_bukak_apk', 'skrng_suka_lag', 'suka_lag_pdahl']"
"['bagus', 'semua', 'dowlodtannya', 'selalu', 'hilang', 'tinggal', 'sekolah', 'smp', 'hilang', 'mohon', 'baik', 'moga', 'perhati', 'segitu', 'mohon', 'kerja']","['bagus_semua_dowlodtannya', 'baik_moga_perhati', 'dowlodtannya_selalu_hilang', 'hilang_mohon_baik', 'hilang_tinggal_sekolah', 'moga_perhati_segitu', 'mohon_baik_moga', 'perhati_segitu_mohon', 'segitu_mohon_kerja', 'sekolah_smp_hilang', 'selalu_hilang_tinggal', 'semua_dowlodtannya_selalu', 'smp_hilang_mohon', 'tinggal_sekolah_smp']"
"['seru', 'iklann', 'skin', 'banyakk', 'lukas', 'zilong', 'lain', 'lain']","['banyakk_lukas_zilong', 'iklann_skin_banyakk', 'lukas_zilong_lain', 'seru_iklann_skin', 'skin_banyakk_lukas', 'zilong_lain_lain']"
"['makin', 'ancor', 'laq', 'sekrang', 'bagus']","['ancor_laq_sekrang', 'laq_sekrang_bagus', 'makin_ancor_laq']"
"['makin', 'makin', 'buruk', 'selalu', 'lag', 'mulai', 'jengkel']","['buruk_selalu_lag', 'lag_mulai_jengkel', 'makin_buruk_selalu', 'makin_makin_buruk', 'selalu_lag_mulai']"
"['kenapa', 'musuh', 'skin', 'skin', 'gaje', 'sekarang']","['kenapa_musuh_skin', 'musuh_skin_skin', 'skin_gaje_sekarang', 'skin_skin_gaje']"
"['jelas', 'sinyal', 'lag', 'dalem', 'buruk']","['jelas_sinyal_lag', 'lag_dalem_buruk', 'sinyal_lag_dalem']"
